Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6585,0.5794,0.0791
2,0.7075,0.6851,0.0224
3,0.739,0.7229,0.0161
4,0.7405,0.7343,0.0062
5,0.762,0.7524,0.0096
6,0.7605,0.7654,0.0049
7,0.7585,0.7709,0.0124
8,0.768,0.7744,0.0064
9,0.782,0.7831,0.0011
10,0.7905,0.7943,0.0038
11,0.7875,0.7961,0.0086
12,0.7895,0.8075,0.018
13,0.7965,0.807,0.0105
14,0.8,0.8253,0.0253
15,0.7905,0.821,0.0305
16,0.796,0.8248,0.0288
17,0.8125,0.8345,0.022
18,0.754,0.829,0.075
19,0.806,0.8382,0.0322
20,0.8015,0.8464,0.0449
21,0.802,0.8521,0.0501
22,0.7985,0.855,0.0565
23,0.816,0.8579,0.0419
24,0.8125,0.8706,0.0581
25,0.818,0.863,0.045
26,0.783,0.869,0.086
27,0.798,0.8685,0.0705
28,0.801,0.88,0.079
29,0.7905,0.8751,0.0846
30,0.806,0.8808,0.0748
31,0.808,0.8857,0.0777
32,0.81,0.898,0.088
33,0.8215,0.8975,0.076
34,0.796,0.8944,0.0984
35,0.81,0.9036,0.0936
36,0.803,0.9054,0.1024
37,0.7965,0.9078,0.1112
38,0.785,0.9055,0.1205
39,0.8045,0.9097,0.1053
40,0.787,0.9136,0.1266
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.65,0.5775,0.0725
2,0.695,0.6699,0.0251
3,0.705,0.697,0.008
4,0.6635,0.7101,0.0466
5,0.7325,0.7283,0.0042
6,0.738,0.7442,0.0063
7,0.684,0.7538,0.0698
8,0.75,0.7606,0.0106
9,0.741,0.7732,0.0322
10,0.765,0.7775,0.0125
11,0.76,0.7875,0.0275
12,0.778,0.7941,0.0161
13,0.7665,0.8005,0.034
14,0.774,0.806,0.032
15,0.771,0.8096,0.0386
16,0.787,0.8135,0.0265
17,0.784,0.8109,0.0269
18,0.8005,0.8176,0.0171
19,0.7905,0.8289,0.0384
20,0.7915,0.8289,0.0374
21,0.775,0.8255,0.0505
22,0.802,0.8415,0.0395
23,0.811,0.8425,0.0315
24,0.81,0.8454,0.0354
25,0.763,0.8479,0.0849
26,0.791,0.8543,0.0633
27,0.789,0.8535,0.0645
28,0.792,0.8635,0.0715
29,0.7915,0.8618,0.0703
30,0.7885,0.8679,0.0794
31,0.79,0.8683,0.0782
32,0.782,0.8686,0.0866
33,0.784,0.8806,0.0966
34,0.805,0.8754,0.0704
35,0.792,0.8801,0.0881
36,0.796,0.8813,0.0853
37,0.7895,0.8885,0.099
38,0.7755,0.8931,0.1176
